"filename", "language", "JavaScript", "PostCSS", "HTML", "XML", "comment", "blank", "total"
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/admin/admin.html", "HTML", 0, 0, 9, 0, 0, 1, 10
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/admin/admin.js", "JavaScript", 19, 0, 0, 0, 0, 4, 23
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/admin/checkLogin.js", "JavaScript", 19, 0, 0, 0, 0, 3, 22
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/._Chevron Down.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/._Chevron Up.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/._Chevrons Left.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/._Heart 2.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/._Logout.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/._Magnifier.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/._Pen Writing 3.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/._Plus.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/._Settings 3.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/._Trash.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/._X.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/Chevron Down.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/Chevron Up.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/Chevrons Left.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/Heart 2.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/Logout.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/Magnifier.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/Pen Writing 3.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/Plus.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/Settings 3.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/Trash.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/assets/icons/X.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/createPlan/createPlan.html", "HTML", 0, 0, 20, 0, 0, 1, 21
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/createPlan/createPlan.js", "JavaScript", 356, 0, 0, 0, 20, 33, 409
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/games/games.css", "PostCSS", 0, 8, 0, 0, 0, 2, 10
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/games/games.html", "HTML", 0, 0, 20, 0, 0, 1, 21
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/games/games.js", "JavaScript", 197, 0, 0, 0, 2, 14, 213
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/index.css", "PostCSS", 0, 172, 0, 0, 2, 29, 203
"/Volumes/Speeddata/Programmierprojekte/Nerdsweek-Webapp/public/index.html", "HTML", 0, 0, 27, 0, 0, 1, 28
